Comparing time, bomb_planted, and round_winner
time    bomb_planted  round_winner
32.55   True          T
32.92   True          T
33.09   True          T
33.17   False         CT
34.04   True          T
34.08   True          T
34.3    True          T
34.71   True          T
34.77   False         T
34.78   True          T
34.81   False         CT
34.84   False         CT
34.88   False         T
34.88   True          T
34.91   False         CT
34.91   False         T
34.92   False         CT
34.92   False         T
34.93   False         CT
34.93   False         T
34.94   False         CT
34.94   False         T
34.95   False         CT
34.95   False         T
34.96   False         CT
34.96   False         T
34.98   False         T
34.9    False         CT
34.9    False         T
35.06   True          T
35.23   True          T
35.88   True          CT
36.12   False         T
36.84   True          T
36.85   True          T
3.73    True          T
37.77   True          CT
37.81   True          T
37.84   True          T
38.12   True          CT
38.49   False         CT
38.86   True          T
39.12   True          T
39.18   True          CT
39.27   True          T
39.3    True          T
39.48   True          T
39.53   True          T
39.59   True          T
42.52   False         CT
44.14   False         CT
46.79   False         CT
46.84   False         T
46.85   False         CT
46.85   False         T
46.86   False         CT
46.88   False         CT
46.8    False         T
46.91   False         CT
46.92   False         CT
46.94   False         T
46.9    False         CT
47.42   False         T
48.31   False         T
49.73   False         CT
49.84   False         CT
49.91   False         T
49.93   False         T
49.9    False         T
50.29   False         T
50.47   False         T
5.05    True          T
50.7    False         T
52.82   False         CT
53.4    False         CT
53.55   False         T
5.46    True          T
54.77   False         CT
54.81   False         T
54.88   False         T
54.89   False         CT
54.91   False         CT
54.91   False         T
54.92   False         CT
54.92   False         T
54.93   False         CT
54.94   False         CT
54.94   False         T
54.95   False         CT
54.95   False         T
54.96   False         CT
54.96   False         T
54.97   False         T
54.9    False         CT
54.9    False         T
55.23   False         CT
55.91   False         CT
56.3    False         CT
56.3    False         T
56.88   False         T
5.75    True          T
5.76    False         T
5.88    True          T
60.38   False         T
60.51   False         CT
60.93   False         T
6.11    False         CT
62.24   False         CT
62.59   False         T
63.45   False         T
64.95   False         T
66.76   False         CT
66.86   False         T
66.88   False         CT
66.88   False         T
66.91   False         CT
66.92   False         CT
66.93   False         T
66.94   False         T
67.16   False         CT
67.33   False         CT
67.98   False         T
69.78   False         CT
69.91   False         CT
69.91   False         T
69.92   False         T
69.93   False         CT
69.94   False         CT
69.94   False         T
69.95   False         T
69.97   False         T
70.31   False         CT
71.08   False         CT
71.62   False         T
72.44   False         CT
72.63   False         CT
72.69   False         CT
73.93   False         CT
74.18   False         CT
74.77   False         CT
74.79   False         T
74.82   False         T
74.85   False         CT
74.87   False         CT
74.87   False         T
74.8    False         CT
74.91   False         CT
74.91   False         T
74.92   False         CT
74.92   False         T
74.93   False         CT
74.93   False         T
74.94   False         CT
74.94   False         T
74.95   False         CT
74.95   False         T
74.96   False         CT
74.96   False         T
74.97   False         CT
74.97   False         T
74.9    False         T
75.58   False         T
75.73   False         CT
75.77   False         T
75.8    False         CT
7.58    True          T
76.36   False         T
77.38   False         CT
78.49   False         CT
79.03   False         T
79.66   False         CT
83.73   False         CT
84.31   False         CT
84.94   False         CT
84.97   False         T
84.9    False         T
86.62   False         T
86.76   False         CT
86.84   False         CT
86.86   False         T
86.87   False         CT
86.88   False         CT
86.88   False         T
86.89   False         CT
86.91   False         CT
86.91   False         T
86.92   False         T
86.94   False         T
86.95   False         T
86.9    False         T
87.02   False         CT
87.28   False         T
87.39   False         CT
87.7    False         CT
88.37   False         CT
88.55   False         CT
88.8    False         CT
8.94    False         CT
89.54   False         CT
89.66   False         CT
89.85   False         CT
89.87   False         CT
89.88   False         T
89.91   False         CT
89.91   False         T
89.93   False         CT
89.95   False         CT
89.95   False         T
89.96   False         CT
89.96   False         T
90.19   False         T
90.66   False         T
91.0    False         CT
91.24   False         CT
91.31   False         CT
91.34   False         CT
9.13    True          T
91.56   False         T
91.66   False         T
92.35   False         CT
92.36   False         CT
92.95   False         T
94.44   False         CT
94.71   False         T
94.85   False         CT
94.86   False         T
94.87   False         CT
94.88   False         T
94.89   False         CT
94.89   False         T
94.91   False         CT
94.91   False         T
94.92   False         CT
94.92   False         T
94.93   False         CT
94.93   False         T
94.94   False         CT
94.94   False         T
94.95   False         CT
94.95   False         T
94.96   False         CT
94.96   False         T
94.97   False         CT
94.97   False         T
94.9    False         CT
94.9    False         T
9.4     True          T
95.7    False         T
96.8    False         CT
9.73    True          T
97.72   False         CT
9.91    False         T
9.95    False         T
